参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
有冇人收到shaw ihouse email,招rmBlk 3 男,34,你有冇話想住邊個block🥺,2,45,,,,,
IHouse Blk 3 招男RM 住1年,Pm me,,,,,,,,1,1
有咩科有靚仔靚女,Japanese studies,你親自去心理系搵佢道歉啦,對唔住大佬,1,36,,,,,
放fh書,pm 唔該,仲需唔需要,,,,1,7,,,
有冇即時吃飯,講笑～,有,咁都唔夠早！？,1,5,,,,,
__,Pm,shaw year 2 girl想搵local rm🥺🥺,啱啱入咗I house想搵男local roommate 😄我shaw year 2  tg: igotoscchoolbybus,1,3,,,I House 招全年男local roommate,,
$80 收FH書,我都想收，有冇人有,有,收最新版FH書成套，$80，唔好太殘就ok，pm me,1,3,,,,,
啱升year1，唔知點解就係覺得冇心力再同一個人由陌生變熟絡,唔洗質疑,真係冇辦法同啱啱識嘅人yo，睇唔透啲人點可以咁快firm,exactlyyy仲以為係自己kam得濟先會咁，真係自己返學放學食飯,4,13,,,,,
要性格幾有問題先一個朋友都識唔到,問題出喺自己身上🙁,Agger ah,Sorry lo😢,1,7,,,,,
招i-house block1/2 roommate🥺,hii dm,Hereeee,招block1/2女rm🥺🥺🥺,1,3,,,,,
想問下有冇人放GERM1000 textbook？🙏,想問下有冇人想放germ1000本textbook 🙏,,,,,,,,1,1
有冇數course介紹,Math 2010😆,呢位prof好似聽聞好chur又爛grade,Lee yi hen,2,11,,,,,
想sit 有關文化/語言嘅堂,心理學gender studies 歷史外太空音樂都有興趣,,,,,,,,1,1
會唔會填針表,最後都quit左😂多謝大家關心💕,,,,,,,,1,9
想知有咩soc好玩/ 識到人？,Phys,如題！想入個多啲活動玩嘅soc但睇咗好多soc嘅ig 好似冇乜邊個soc啱咁Thanks 😋,,,,2,2,,,
放shaw男宿,求宿,Pm,食屎狗樓主,1,11,,,,,
danso,想問下上danso莊好唔好挽架 通常year幾上,,,,,,,,1,1
LWS 宿appeal 幾時知result ?,Push 有冇人知咩情况,Ching pm？ reject email 都冇封,No news ar 懷疑今年有冇特宿,2,6,,,,,
放FH書,Pm,放fh,pm,1,11,,,,,
放fn 書,Pm,Pm,放fn同fh書 有意pm,1,14,,,,,
__,Pm,Pm,pm,1,4,,,放fn書,,
下午茶有咩推薦🧘‍♀️,蘭苑,,,,,,,,1,1
學費幾時deadline,Sep-31,,,,,,,,1,1
☠,人山人海🤢,,,,,,,究竟點樣先可以順利係lunch time 搵到位食飯,1,1
__,有冇心水,,,,,,,最靚仔/靚女助教？,2,1
NA kam 撚 你問我答？,Hi Na kam 撚利申：shaw,Kam你老母,Na 同shaw 都唔識分 你仲kam 啦,1,15,,,,,
想問ibba MGNT1020 sem1定sem2讀？😕,冇所謂 兩個sem都讀得,,,,,,,,2,1
Stat1012 study group,pm,有sources,Pm?,1,6,,,,,
DSME2011 Yi-Shan Li,笑死,佢上堂冇搞事喎 🤔,True，其實淨係希望佢上堂唔好搞咁多野，都唔係點理佢教成點架啦，反正坐喺嗰度聽都聽唔入耳，翻屋企睇仲有效率,1,16,,,,,
DSME 2011 Bo Yang定Lee Yi Shan,Push,Pish,Push,1,7,,,,,
院隊選拔,全年係咪得一次選拔,有無人知院隊選拔例如佢寫8-10咁係入面我求其搵個時間去定成個session都要去曬同埋好奇係點選 比賽?定教練會test你,,,,1,2,,,
Minor prefer yr1 or yr2,愈早愈好,Minor prefer yr1 or yr2,,,,2,2,,,
出售fh 書,有意tg: coucoucoub,出售fh 書 有冇人需要,,,,1,3,,,
☺️,"Hii to all I-house people😀if you're looking for cultural events and school tips, simply follow us on insta and you will never miss out on a single i-house event: https://www.instagram.com/cuhkihouse_cona/ We are the i-Ambassadors of this year and we can't wait to meet you guys. Feel free to dm us if you have any problems 😉",,,,,,,i-House,1,1
想知ugea1212好唔好讀？,可唔可以麻煩講下assessment要做咩？thx,,,,,,,,1,1
Mktg2010a project,有無人個組係6個人㗎☹️我會pm你🥲,,,,,,,,1,1
邊到有啲輕便野食買,打飯盒,一陣一個人吃諗住買啲輕便啲嘅野食 摺埋一二邊食算大家有冇推介,,,,1,2,,,
__,Yr2都可以上既，睇人姐,yr2就唔會上莊,建議yr1冇咁chur 但最好唔上,1,3,,,yr1定yr2上莊好😬😬,,
我吾開心,咩事牙,,,,,,,,1,1
徵Ugfn書(revised second edition),內頁完全冇皺～,有少量highlight,$80 好新淨 有少量鉛筆筆跡,1,5,,,,,
收fn書🙏🏻,放fn書,pm,pm,1,5,,,,,
大中語文講堂係咪全部zoom黎？,Yes,,,,,,,,1,1
求和聲女宿,求和聲女宿，有意請留言,求女宿（咩書院都得）j,想買女宿!!!pm pls,8,7,,,,,
到依家仲未見過個roommate,好羨慕 可以當自己住單人房,係咪可以同書院講 幫我換個會現身嘅roommate,,,,1,2,,,
Add drop 先尼swap 大中會唔會好怪,會 畫個圈圈詛咒你,會 記實你🤫,,,,1,5,,,
有冇shaw人想換宿！！！,男 想換二宿,dm,男 想國換二！,1,9,,,,,
接受自己冇朋友既事實🙁,我就自己買飯自己食🙁,屌你老母 今晚食飯？,I am alone,1,13,,,,,
e-add drop,thanks,可以,話說e-add drop期間可唔可以用swap個功能,1,3,,,,,
MKTG2010 E,Find group mates,Push,照讀,1,20,,,,,
MKTG2010B fan tingting,push！ 搵grpmates,問親人都話佢爛grade P.S. 隔離D班既學生,佢係咪killer,2,9,,,,,
IERG4230組隊,？,屌你,時間段星期四 2:30-4:15,1,4,,,,,
shaw去esther lee,okthx,上次用左25分鐘😲😲,7,1,8,,,,,
即興聽日約lunch,Ok,Ok,ok,1,5,,,,,
__,搵groupmates一組  有意pm,,,,,,,MKTG2010D,1,1
想知而家訪客係咪都入到中大￼,法理上只有中大人先搭得(外判工都唔搭得)，實際上唔理,校巴就咩人都搭得😅,登記身分證就入得,1,4,,,,,
急add drop period swap course問題,唔用swap用add囉,如果有一科唔要 想add另一科 係咪直接兩科swap就得,好驚新嗰科開左waiting list ，結果wait唔到，舊嗰科又入唔翻,1,17,,,,,
有冇人讀過ugeb2491 risk mgnt??￼,Push,想知好唔好讀 難唔難🙏🏻🙏🏻同埋workload點,,,,1,2,,,
chll1900如何,同問 有冇人讀過/10號sit咗堂？,push,文學院fac pack黎，請問有冇人讀過？,2,3,,,,,
逸夫人覺得今年o camp大組長點?,兩個都唔知佢邊個 利申返飛機,一個靚仔 一個柒,型,8,14,,,,,
PE Fail 點算,冇事啦 佢會畀你pass,Attendance 齊,16/40 Exam🙈🙈,1,6,,,,,
中大sit 堂,多數唔使 你行入去根本冇人知你係咪sit堂 就算知都唔會趕你出去,Need email prof ?,行入去就得,1,3,,,,,
__,here sorry!!,pmpm!!,書名叫basic concepts in biomedical sciences 1 新淨，用原子筆underline左幾行,2,3,,,$80 放health sci 1&2 書,,
WYS 揮手區,笑死 我year 3都未拎,我諗最唔洗諗就係著suit 因為佢都expect男嘅打呔 女嘅有領巾 不過你都可以上網search formal dress code,formal係咪指要著suit？,3,33,,,,,
Uc assembly,可以揀zoom都得,自己reg 嘅,下星期嗰個係你自己揀定咩黎,1,13,,,,,
中大lib有冇中小學練習可以印？,cc lib有,如題唔該曬！,,,,1,2,,,
我係組爸 食唔食組女好？,Push,留名,食閪咩,1,18,,,,,
Fh 王劍凡,最尾想知咩grade,"呢位老師俾分鬆唔鬆手？有冇靚grade, 暑sem fh冇咩老師揀🙏",,,,2,2,,,
投個票 中大谷針 想知大家打咗針未,一定0打,唔反對打針，但反對強迫,,,,1,2,,,
冇朋友好孤獨😢😢😢,其實毒撚一個更開心,Pm,咁咪呢到搵下有冇人一齊打機先囉 你打咩機呀,1,20,,,,,
收fn書,Pm,pm？,,,,1,2,,,
收中文FH書(第3/4版),pm,pm,自push,1,4,,,,,
電話訪問員時薪,Oh...🥲,我自己就冇交完之後要再改嘅經驗 LM學嘢🤣,打電話過嚟已經遲咗 派哂日子只係問你返唔返到,3,45,,,,,
18 cred add drop最多add幾多？,唔同科swap都得?,點解唔直接swap?,"reg咗18cred 但add drop想drop一科然後add另一科 想問係咪要drop完先add得？ 因為我18cred 之外waitlist 咗一科3 cred,所以想知可唔可以直接add 再drop",2,3,,,,,
fm講下開sem第一個禮拜,東涌,走咗3日堂,,,,1,9,,,
__,Pmed,Hi 可以睇下相？,只有少量鉛筆痕✏️,1,3,,,放新淨fh書～書皮冇摺痕,,
⛄️,真？😮‍💨,就黎會去瑞士,,,,1,16,瑞士exchange,,
冇人理我 冇人愛我 forever alone☹,無論喺工作上定係讀書 自己做嘅都係一塌糊塗 自己人生都係一塌糊塗 完全喺失敗 中大失敗者 我係零 我係負數 吳想做人 點解做人咁鬼辛苦 應該自己可以做到咁失敗 自己除咗死重有咩用 我自己都係完全無用 我係一個冇價值嘅人 無人愛我 無人會愛我 個個都想傷害我 好攰呀 好頹呀 搞5點🙁,哩個世界冇一個地方接納我,kam毒撚應該全部quit u,1,5,,,,,
讀history year 4住hall 有冇用？,住Hall…咪住Hall 可以有咩用？,,,,,,,,1,2
想問而家順豐仲可唔可以送到宿所等宿工姐姐幫手收？,cc之前個順豐櫃係咪冇咗啦？🥲,,,,,,,,2,1
有冇人有shaw assembly條點名link,下次check email la,今年唔似上年咁樣要填QRcode?,留到最後先會計你有出席，下個禮拜一就可以check到attendance,1,15,,,,,
政辯,icic 唔會吖～放輕鬆啦～有咩歡迎搵我～,唔該晒呀🙏,因為我驚佢會問對唔知咩議題既睇法個啲🙈🙈🙈,1,8,,,,,
add drop一問,係要drop,pushhhhh,想問如果reg左18 cred 但有course係waitlist緊 add drop果陣係咪一定要drop左d waitlist嘅course先可以reg其他？定係可以直接reg新course？thxxx,1,3,,,,,
好撚想消失一排,你有咩價值,要搵到自己既價值！,88,1,3,,,,,
有冇人到yr3都識唔到frd,pm,pm,pm,4,46,,,,,
放新淨fn書（附送fh二手書上下兩冊）,仲有嗎？,Pm 🙏,,,,1,2,,,
__,未,見到CUSIS咁快出咗Sem 2時間表，Sem 2啲course係咪已經落實咗？,,,,1,2,Sem 2 Timetable,,
Need help from FYP,"Hey guys, we are students from United College, CUHK. We are conducting a final year project, which aims to study the impact of COVID-19 on entertainment and eating habits of university students in Hong Kong. Please help us by filling this survey. It should take about 5 min. Thank you very much! http://cuhk.qualtrics.com/jfe/form/SV_bmfdm8u2GTvLqvk",,,,,,,,1,1
多唔多fm喺waitlist派到宿,都多 好多毒撚住唔慣會quit宿,,,,,,,,1,1
cc書通冇冇得走,淨係走lecture?,唔take attendance嘅話咪走咗佢,year1嗰個,1,3,,,,,
有冇冇frd嘅人讀緊PSYC1000...,要收錢，tg: kat_bibi,可摸耳share俾我🥺🥺🥺🥺🥺,😭😭我major文科 中學science超廢 係咪應該放棄,2,10,,,,,
係咪有人想實測午夜傳說,https://hk.on.cc/hk/bkn/cnt/news/20210910/bkn-20210910004005663-0910_00822_001.html,,,,,,,,1,1
⛄️,pm,Pm,舊書 免費 要嘅pm,1,3,,,放fn書,,
有冇人仲未識到朋友,多謝你 我會努力的 不過我已經唔係fm🥲🥲,如果你係fm 你一定要把握好學期初識朋友 一旦到左學期中段/尾 人地個個都有左圈子就真係未必比你融入到 加油,傾莊會分幾次唔係一次就算 你去2-3次啲人應該都會對你有啲印象 我覺得咁樣好過你上堂拗fd 個人意見,2,5,,,,,
自卑到匿喺廁所屙屎,Lecture hall,😐,我好自卑😭😭😭,1,7,,,,,
Ckb to WFb,用腳行,點行呀,係咪打錯咗名,1,3,,,,,
有冇yr2 MAE嘅朋友🥲,冇,,,,,,,,1,
sem2 瑞士exchange🇨🇭,Me alsooo!!! Pm?,Me also 🇨🇭! Pm?,Me 瑞典！,4,4,,,,,
互相幫手做fyp問卷😚😚,Done,thanks!,done,1,5,,,,,
Science centre去信和樓,6、7仲要上山,梗係1A😐,1A,1,4,,,,,
仲未收到學生證係咩事,thxxxx！聽日打去問下,打去中大通問佢拎郵件編號 之後自己上郵政局網check 如果佢係顯示拍過門冇人應信件返回郵局的話 就拎身分證同住址證明去郵局拎 利申今日就係咁拎到 有可能係郵差拍過門冇留低卡 btw 住土瓜環 去郵局佢同我講係前日先到局 其他地區可能都有延遲,今日夜晚先check過信箱 地址都上翻去check過冇填錯,1,8,,,,,
其實多唔多女仔打機？玩開啲咩,會買direct cut,我,純個人淺見，我覺得就唔會，本身有switch個d應該冇乜人會特登再買oled ，因為佢地兩部差別唔係好大，同埋而家又冇興d好似動森咁既game，就算炒應該都冇炒得當年咁誇張💩你埋等下oled lo，反正到時舊版switch 會平翻，到時揀買乜都未遲,1,50,,,,,
__,慘,我自己都慢慢培養緊自信心 如果有興趣識嘅不妨pm認識一下😂,,,,3,33,自卑到匿係廁所食飯,,
收fh書,第四版 冇筆跡 仲好新,有啊,仲有冇人放fh🥲,1,3,,,,,
換宿問題 求救🆘,我都quit咗,Quit hall,你都係志文？,1,5,,,,,
二手韓文書,搵到了! thanku!!😍,讀曬韓文一到六lu  我自己就靚grade既,Google search active korean 1 pdf就有啦,1,13,,,,,
wys theatre,Thx！,兩架校巴都係喺YIA出面有站,但最好預多啲時間,1,5,,,,,
sit堂,只係sit 左year 1 mbbs 下次sit senior 再同你講,Sit堂洗乜做功課 😂,洗唔洗去醫院見習,2,13,,,,,
想問今個sem late drop容唔容易？,要drop就下星期好drop,要醫生證明先得,late drop好難比,2,4,,,,,
招女rm (shaw),仲有冇女fm未搵rm?😭 可yo可頹🥺🥺利申 想住二高三/四人房,,,,,,,,1,1
有冇seem yr1朋友一齊上堂,Sent,Hi,pm,1,3,,,,,
__,$60 少破爛 有hightlight有筆跡 有意pm,收fn,pm,1,11,,,放fn書,,
__,收到 唔該曬你哋🙏🙏😆,淨係跟返你reg咗嘅時間去就得喇,係唔使理,1,4,,,Assembly一問,,
Na assembly,唔知洗唔洗自己reg,冇,佢有冇pre assign俾你 冇咪唔使,1,4,,,,,
yr1想招shaw 男rm,Prefer 二高>國高>國低>二低有意dm,,,,,,,,1,1
campus有咩地方適合Zoom上pe,Ulib,有位坐又有伸展空間我覺得幾適合,YIA,1,6,,,,,
有咩莊好介紹？,oof 不了,小圈子派對,More,1,11,,,,,
__,中意咪上 五中意咪五好上,冇上任何莊,唔重要,6,17,,,上莊真係咁重要？,,
點解大家都咁想換新宿何宿,尤其係何宿Lift都冇部有咩好？,,,,,,,,1,1
港大去中大搭咩車,仲要免費,港大荷花池直通中大荷花池(未圓湖),未圓湖,1,12,,,,,
知行男fm 招rm,做乜咁多人要屈蛇😂NA咁難reg hall咩😂,可唔可以屈蛇😭,"Hehe, Fm, 無不良嗜好唔摺 習慣夜瞓 (大概2:00-4:00)希望搵到傾到計既rm ~",1,3,,,,,
有關finance concentration,其實讀完果科唔保證入返果一行,讀完finance con出路係點 會唔會入唔到finance 行業😳,,,,1,19,,,
中大好hea處,iLounge,cafe 330,蘭院,1,6,,,,,
Cc 華連招rm,可yo可摺,Tg @lyy0010730,,,,1,2,,,
wys 有冇人想調房,pm 我E座2樓,push,男 6/F rmmate 早訓,1,3,,,,,
放fh書,有意,放fh英文書 好新正 有意pm！,pm,2,26,,,,,
__,Push,點解而家未到Add/Drop periodd班嘅名額都仲有浮動？,,,,1,2,Add/Drop,,
Shaw 大柒頭,好少靚仔，永遠都係隔離組先有😹😹,珍 去大O勁多毒撚🙃,邊個？,1,9,,,,,
Econ3140有冇人一組？,pm,pm,push,1,4,,,,,
__,嗯嗯！希望我都可以好似你咁勁🥲✌🏻✌🏻,Bernd esch ❤️,German I唔會爛grade的放心(*ˉ︶ˉ*),3,17,,,其實外語course(1000)容唔容易爛grade?￼￼,,
CC 揾女仔roommate,9and10 sep,幾時入,琴日先公佈名單,1,6,,,,,
STAT 3008 Prerequisite,會,"攞咗MATH1030, 未讀過STAT2006, STAT2001同STAT3008呢嗰sem一齊上，會唔會太辛苦？",,,,1,2,,,
stat 2001 既lecture materials?,https://t.me/joinchat/_LcK060_NkQyMDM1,Pm,PM,2,16,,,,,
收GPAD1020 textbook🥲🥲,if need can pm me geh,blackboard 無meh🤔,How to find,1,5,,,,,
想問入宿要帶咩,會唔會有人想放雪櫃？,pm,pm,6,46,,,,,
ugfh,Low,字都未撚打好,Lowe Chun Yip 点? Killer?,1,3,,,,,
求新宿女蛇主,淨係住星期一晚,,,,,,,,1,1
收active Korean 1,急收😣聽日第一堂要用書😭,,,,,,,,1,1
五低想換宿🙏🏻,五低想換乜？,same here 五低想換五高,,,,1,2,,,
點解Coffee Con係藍？,"NA can (blue)  ,善can (美心)",其實cu有邊啲唔食得,叫班豬罷睇紅既ViuTV先啦,1,6,,,,,
有冇五高fm想換五低（女宿）,push,有冇入咗PHB女仔想住女宿🙇🏻‍♀️,,,,1,3,,,
［崇基換宿］何宿換五高/五高換何宿,放五高 收何宿Or 放何宿 收五高五高同何宿都真心幾好玩 可chur可摺 兩間都係CC最佳宿舍純粹係因為fd唔同宿先想換🙏🙏🙏誠求 可議酬有意pm thx,,,,,,,,1,1
想問shaw嘅hall sem2有冇得reg,Lm,定係要等下年先可以？,,,,1,2,,,
放fn書,第二版 修訂本新淨 零筆跡$100,,,,,,,,1,1
運動叻嘅人真係好charm,⋯今日返學有感,音樂叻運動叻英文叻既最charm😍,唔覺,1,3,,,,,
大中1 Man Ying Ha 好唔好?,極推 人好nice,,,,,,,,2,1
放fh書,有意pm,有意pm,,,,1,2,,,
cc院隊,廿秒,師兄幾快,有冇人知cc個游泳院隊要幾快先入到(50free),1,3,,,,,
有冇人嗌元燒？￼,😦,毒j一個人唔出車🥲🥲,依家想搵人夾單6:00pm （6/9號）,2,3,,,,,
[CC轉宿] 放五低 收五高/何宿/新宿,有意 tg @hwicb,,,,,,,,1,1
cc五低想調利樹培😢🙏🏻,如題🙏🏻🙏🏻請問有冇人可以調,,,,,,,,1,1
__,怕爆🥶 都係唔試啦😂😂,行半個鐘應該到,當行山,1,4,,,Fm一問 知行有無門禁,,
Recruitment talk一問,琴晚都係咁入你阿媽間房😅,SocT 牛仔褲 人字拖,casual,1,4,,,,,
收DSME1030書,有,有,有冇人賣ebook,1,17,,,,,
中大有咩地方可以做gym,唔該你，自己低能咗,好似 10:30 - 23:00 😅,今日九半,1,7,,,,,
我就嚟生日🙁,所有節日都係😂,唔想🙁,但我覺得生日係屋企同屋企人過都冇所謂,1,9,,,,,
__,通常1-2點訓～ 間房整整齊齊 正常衛生🙆🏻‍♀️就ok了～帶人前講聲！tg：kakachai,女fm想搵女rm！有興趣dm搵我🥲,,,,2,,想搵女志文rm,,
有無 無宿嘅人圍下爐,要食屎就去廁所,We are shaw we dun have hall🥲,😗,1,5,,,,,
Lunch,cc can係咪會無咁多人,聽日med can條龍應該起碼去到樓梯,,,,1,6,,,
走堂問題,每個course每個prof都唔同,睇course outline,只要有心堂堂都走得,1,5,,,,,
高價徵補習社助手,Pm,Dm,"Hi, both match",1,54,,,,,
電腦堂駛唔駛自己帶部腦過去？🥲,Okok謝謝你,講AI 網絡安全嗰啲,好似除咗excel 其他嘢都唔係好關電腦事,1,8,,,,,
陳國本樓點去YIA?,宜家知了 仲未熟cu啲路 😖,好！唔該你,,,,1,8,,,
TC Liang Hall點去,31分至00分開出會停,咁幾時會停幾時唔會,thxx,2,14,,,,,
想問第一次申請中大信用卡係咪完全免費？,Thx🙏,係,校友個張係叫中大校友信用卡😅,1,7,,,,,
收fh書,Pm,如題,,,,1,2,,,
尋有意努力讀CS/CE 的同學 thx,Pm,pm,pm,2,54,,,,,
志文宿換 知行,但係都唔知自己住幾人房 點搵rm,我見可以申請pair up rm,好似全部都無得換 連換房都唔得,1,33,,,,,
wait list好似無望 😦,上堂間房咁細 😟,,,,,,,,1,1
