参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
成日話gpa正常就得 但係其實UST幾多先叫正常,今天過了便是明天,你的資訊很有用,"全部B , 再加d 擅長course 拿 A 正常拉返 3.3 附近+-ps, 拿A-    B 會多過 2個 B+  0.1",5,14,,,,,
MATH2411,悶就真,難到,,,,1,2,,,
Sosc1470 final,:0,佢係知名膠,千祈唔好俾錢樓主,1,24,,,,,
係唔係有醫生紙就有make up exam?,只要證明你入院瞓就得,Yes,入院一定批make up exam個人喺醫院唔通叫佢格硬返嚟ust考試咩,1,21,,,,,
year 1 winter sem有咩做,休息一吓Plan吓下個sem讀咩course去拉高GPAintern唔建議建議讀完year 1先揾intern重質不重量,Winter sem/ case comp/ 嗰啲乜鬼青年計劃 camp/ 自學下個sem啲嘢要做就一定有嘢做，肯唔肯做係另一回事,肯穩就一定有,1,12,,,,,
Ceng1600 上年final&solutions,prof didnt release the ans,pm,pm,1,5,,,,,
Elec2420出grade,73.2 b,91 A,,,,1,2,,,
Ceng1600 $40,Pm,Pm,Professor solutions and find pp,1,3,,,,,
有冇得要求prof fail咗我,有C-算係咁啦,可以試下要求，應該得,唔想佢C-/ D我，寧願F,1,15,,,,,
收envr/civil 1150 final source,同問,直接背完再寫上去,Real,5,,,,,,
COMP2711,"Diu, 我冇估到佢會出返，唔記得咗",Logic同埋strong induction pp問過Combinatorial proof hw出過,有A片,4,16,,,,,
Lang4030,有冇session個part 2 assessment有出分 到依家都見唔到😢,,,,,,,,1,1
make up exam係唔係容易pass？,仲要搞到prof多咗嘢做，阻住人收工，梗係出難啲,Make up exam比其他人多幾日溫喎，仲想容易啲？諗太多啦你,,,,1,9,,,
放2123 wen wen source,Pm,pm,pm,1,4,,,,,
Kenneth 10點話既very soon去咗邊？,https://goop.ai/topic/XcoJ/Kenneth-%E6%88%91%E5%B1%8C%E4%BD%A0%E8%80%81%E6%AF%8D?ref=goopapp,？？？？？？？？？？,,,,1,2,,,
有試過trans去CPEG嘅同學請入一入嚟,cga要求係幾多,你係唔係今個winter sem申請trans?,Pm,2,9,,,,,
SENG gpa過3.5嘅你犧牲左啲咩,攞F嘅人,精,扑少左野,2,11,,,,,
Acct3010 ebook,Hi,pm,pm,4,11,,,,,
Anyone has chem2110 past paper,Pm,Pm,Pm,2,17,,,,,
有冇人完全睇唔明math 2411,1,YesI thought I failed final last sem but unexpectedly ended up near highest and got A (mark was a bit over 50%),Don't give up，對我黎講2411係最爛grade，唔好因為2411 而質疑自己，除非2421都讀唔掂,1,8,,,,,
Sosc1960 final,,,,,,,,,,
elec2400 pp,dm,收今年pp,,,,1,2,,,
收OCES 1030 final past paper,Have A grade proof,"Have OCES1030 2 years final pp with solution and question bank answers, pm if need",Pm,1,18,,,,,
收Acct3010 同3610 梳屎💩,PM,pm,收Gibson v Manchester City Council source defendant,1,18,,,,,
Fina 1303 final,Pm,p m,Pm,1,39,,,,,
想知大概咩grade可以咩major入(SBM),想請問C+ bcga 大概幾多先入到acct 🙏,如果gpa 唔太低嘅話,B 都夠,3,7,,,,,
math 2023 圍爐區,有咩問題 本身就應該係咁🫠正路只會F5%人,4成pass得咁都幾多人考完mt就保D,即係一定要4成先pass?,5,32,,,,,
收 Ceng 1600 sources,pm,pm,hi,1,116,,,,,
想take Econ major,你econ 2123考好啲啦 Additional Major再揀,b-有冇機會🥲,B,3,51,,,,,
F 兩次required course有冇得求情,要見埋associate Dean,同係問原因 寫返過study plan,honor course嘅1%難度都未到,3,22,,,,,
收ISOM3360 PP,pm,Pm,有意pm,1,3,,,,,
收CENG 2110 past paper sources,真，易到pk,瞓喺度考都有A,2110都要收source係咪弱智,1,4,,,,,
Comp 2211 grade已出,係😂嗰排懶冇操數😂,Summer讀? 感覺regular sem你可以攞A,Math 2411嗰時攞B+😂,1,32,,,,,
收sosc1960 final pp,pm,Pm,Pm,1,8,,,,,
IEDA2520Final預炒區,哦,一題都唔識！,,,,1,2,,,
收chem2110 source,if hv pm me,,,,,,,,1,1
想問下幾時出grade,試過夜晚11點半睇完戲出黎見到派左個,其實真係冇定時,唔係10 2 5咩,1,4,,,,,
有冇人有past paper Maths 2011 +sol,pm,pm,Pm,1,14,,,,,
收sosc1960 final,pm,Pm,Pm,2,45,,,,,
Sbmt 3200派咗interview未,This morning,When did u receive?,Yes,1,3,,,,,
Acct 4510,How,慘喇....,diuuu成條q1誤解咗條題目....,1,15,,,,,
收ISOM2010 Yin Zhi Tao sources,Anyone have Yinzhitao MCQ final test (lecture not lab) please pm !!,pm how much,,,,1,80,,,
☠,AR建議一月尾前，詳情問prof/ta，佢send咗時間俾我,睇prof. 快可以下星期張form有寫最遲五星期內,咁大概幾時補考? 我都申請左🙏🏻,1,8,,,Make-up exams,,
放math2011 pp,Hi,Pm,,,,1,2,,,
放Chem 2110 pp,pm,pm,pm,1,8,,,,,
收FINA 1303 mt final pp,reported to Veronique,Pm,,,,1,67,,,
收fina 2303 1303 final,Pm,pm pls 1303,pm,1,14,,,,,
放ceng 1600 pp,pm,pm me I have source A grade last year,,,,1,2,,,
收isom2010 xuhong source,pm,Pm,Pm,2,10,,,,,
Acct4710,整*,Ai我4010都類此。好唔鍾意exam cheatsheet…,final就係死背多。我成張cheatsheet就係Revenue同expense ER Diagram結果gg,1,9,,,,,
有冇人year1讀comp2211,上個sem 讀佐,有,,,,1,2,,,
Phys 1111 請槍,有grade proof,,,,,,,,1,1
收ISOM 2010 Yin Zhitao sources,Pm,收final pp + lab,,,,1,2,,,
收lifs3110 pp,pm if have final pp🙏🏻,,,,,,,,2,2
MATH4432交白卷,"宜家極後悔冇去讀Comp 嘅machine learning, 自己攞苦嚟辛",Major requirement?DSCT嘅話應該可以去讀COMP個machine learning,真係好灰,2,9,,,,,
engine major,*hku cs department 超細,Ching瞭解多啲先。 hku cs direct employed 得6x%，lol。 啲好小小嘅攞曬prof re letter去外國讀phd啦。hku cs超細，啲prof當自己ug班學生親生仔咁。 自己去linekdin睇都知啦。 faang hku人最多，差唔多兩倍ust。好多ug hku cs+外國top u pg， 而且hku每年grad嘅it人連ust一半都冇。,睇吾過眼d人成日用fg人工分cs ranking,2,22,,,,,
求lifs3110 final,求lifs3110 final,,,,,,,,1,1
平放lifs2210 上年final,pm,$20 ,,,,1,2,,,
收sosc1780 final exam source,pm,Pm,have last sem and last fall exam,1,5,,,,,
ust code狗 工具調查,Only use colab and jupyter notebook,Gedit,其他IT狗,1,4,,,,,
一人一個bitch會改的英文名,man,Yan Min bitch,Agger,6,46,,,,,
CAP係咪壽終正寢？,係咪你之前無打針，入唔到ust，所以無update張學生證？,咁驚？,姐係無upload上cap張卡就拍唔到？,2,10,,,,,
ELEC 2400 final 組隊？,pm,Okay🤣,自己pm,2,18,,,,,
1013 L1出grade討論區,Hi ff 陣間望下你ig post左啲乜,條路自己揀，爛grade唔好喊,食左個D!!!,3,8,,,,,
__,…假膠po?😂,我嚟更新後續佢嚟還翻支筆喇🥳係我以小人之心度君子之腹我道歉 我小器🙇🏻‍♂️祝你考到靚grade😇,再問其他人借另外一支咪得,1,6,,,日行一善 送佛送到西,,
ELEC1100出grade,一齊再讀過,我都F左,F,1,22,,,,,
摸頭還要哭,我們不得不相信，馮學峰說過一句發人省思的話，當一個人用工作去迎接光明，光明很快就會來照耀著他。這段話讓我的心境提高了一個層次。陶侃曾經認為，大禹聖者，乃惜寸陰; 至於眾人，當惜分陰，豈能生無益於時，死無聞於後，是自棄也。但願諸位理解後能從中有所成長。Pet Lo 共赴黃泉對我來說有著舉足輕重的地位，必須要嚴肅認真的看待。生活中，若Pet Lo 共赴黃泉出現了，我們就不得不考慮它出現了的事實。對Pet Lo 共赴黃泉進行深入研究，在現今時代已經無法避免了。,Up,我係S級雜燴兔肉,1,18,,,,,
Fina4929O,一係就個個有source,個個背書背得咁勁 個mean實高,但咁on9個mean都咁撚高 真係Cls,1,6,,,,,
一打開goop只係見到個個求isom2010 source,pm,pm,Pm,1,26,,,,,
放lifs2210 midterm final quiz 平放,pm,pm,Pm,1,39,,,,,
收sosc1960 final past paper,Pm,Pm,Or u pm me,1,9,,,,,
想知F兩次required course喺同一科定兩科？,達哥😭,依家d人0.6都唔識,邊個0.6,3,6,,,,,
求LIFS3110 final pp,求pp🙏🏻🙏🏻,求lifs3110 final pp,,,,3,2,,,
EY 出晒offer 未,啱啱收到,今年超缺人，應該仲有位,今日先收到電話下個禮拜interview,2,3,,,,,
elec2400 recent finals paper,pmpm,Pm,pm,1,7,,,,,
放 Fina 1303 全套sources,Pm,Pm,Pm,1,26,,,,,
求Comp3632 Hacking answer,Push,同收ans push,,,,2,5,,,
放acct 3010&3020 test bank,Pm,hi,pm,2,43,,,,,
收Sosc1350 final,Pushhh,Pushhh,If u Have then pls pm me,1,3,,,,,
收isom2010 XuHong final exam pp,Don’t need lab pp,Pls pm if have thx,,,,1,2,,,
Phy 1114,全撞其中1個至多咪岩5分1分數， 都未到3成分數，當然係F 啦,唔喺全撞B就合格嘅咩,你midterm 如果係最低分數果5% 係屬於F 範圍,1,13,,,,,
有冇人讀過ISOM3380,係A range 闊 定係派夠多A+,hidden good grade course,4 cred course 點,1,3,,,,,
fina2303 mackay final,Pm,Pm,pm,1,11,,,,,
ISOM3320 有冇人今個sem讀,想知內幕,越嚟越少人reg,想知details,1,3,,,,,
放ISOM 4740 source,Pm,Pm,"有3份滿分lab, 5個 Iprs quiz 連solutions.有意pm 我。",1,3,,,,,
COMP3711 final,因為份卷太簡單，唔可以作準,上個Spring mean 80,咁爛個話希望有個b-唔好食c range😢,2,65,,,,,
收IEDA 2520 SOURCE,Pm,Pm,push,1,3,,,,,
想問畢左業嘅BIOT/BIBU師兄師姐做緊咩工,Interesting,Pharmaceutical?,咩公司嘅sales,4,5,,,,,
Econ2123 yuen chi wa,Have source can cheap sell to u,大家感覺點，有冇信心🙏🏻好大風好想喊，想圍下爐取下暖,,,,2,2,,,
放Year 1 source  (1字頭嘅course),Pm if need,,,,,,,,1,1
2012H 戰況,咁係咪可以爆分,10 effort points 佢係咪搞笑,分已出,1,18,,,,,
PHYS1101 賽後討論,偏易,我全卷肯定唔過40%,想知大家覺得難唔難,2,3,,,,,
收ELEC 2350 exam past paper,以前冇final，得project,點解會無source,Why,1,7,,,,,
Acct 4010 grade,leng,又冇3010咁大workload,靚過3020 唔知幾多倍,1,6,,,,,
Hall 2 9/F David 搞咩,上廁所後沖水是任何一個幼稚園畢業後的正常人應該擁有的習慣；尿不進去說明你短，尿到外面說明你軟，對準之後再發射這件事情應該不難,,,,,,,,1,1
收 fina1303 final paper,Push,Pm if have,,,,1,2,,,
今日考完決定同女神表白,直接約開房啦,Ok,Ok,1,7,,,,,
PHYS1001 final圍爐,想jump,跟我當差啦,1001都讀唔掂,1,4,,,,,
"平放isom2600+Fina2303 final,asm",Pm,Pm,Pm,1,55,,,,,
☠,又唔係你本人，有乜好講呢？,得啦得啦點撚樣,屌，今年起碼最少20個人overall 100，你個friend 有乜咁勁,3,186,,,Comp1021 已炒,,
收SOSC3130 source,Have?,收,🙏🏻,1,3,,,,,
ust寧願讀頹科定N展（唔計cs cpeg）,同埋major係自己揀嘅，老套講句：條路自己揀，_ _唔好喊,Workload then engine，但講讀嘅嘢有幾in-depth then maths,Workload大同讀嘅嘢難唔難係兩回事,1,9,,,,,
收Sosc1350 final source,同收final sourve,有嘅話dm plzz,,,,1,3,,,
sosc1350,收sosc1350 final source,,,,,,,,1,1
CIVL2160 炒粉區,淺條毛,我全卷唔過30%,好淺喎,1,3,,,,,
收Sosc1470 final pp,pm,Pm,Pm,1,7,,,,,
我覺得我讀civl仲辛苦過牛頓研究物理,為滿足自己嘅興趣和好奇心。出嚟可以做中學老師、補習老師或政府工,已經唔算爛grade啦，below mean0.5 sd攞B range。 隔離math below mean0.5sd已經直接fail7左🤭🤭😂😂,,,,2,11,,,
求math 1003 final sources 🙏🏻,Not really need the source,Do the exercises from the book is enough,yau mo last year?,1,4,,,,,
放lifs4760 source,pm,放pp with ans,Pm,1,22,,,,,
civl2810真人槍，last sem A+,Pm,咁勁點跟,有需要pm，面對面付款,1,3,,,,,
點解professor要disable course,download yourself archive plz,有啲以前嘅course想睇番啲notes搵晒past enrollment都冇點解professor要cut晒🙄,,,,1,2,,,
1112裸考區,救命啊，我聽日考了,救命啊，聽日考了,勁想同你地做愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛愛,1,32,,,,,
Phys 1112 Midterm,救命啊，聽日考了,A+ for sure啦,diu，好勁,1,37,,,,,
收Civl 1100 past paper,收Civl 1100 past paper,,,,,,,,1,1
誠徵FINA 1303 Midterm同Final pp,Pm,Want too Pm,想要 +1,1,4,,,,,
MATH2011請槍,pm,冇信封了， 你pm我,pm,1,11,,,,,
收近年ycw MATH 3423 final,Dllm ycw,Pm plz,"Have MATH3423 2016-2020 midterm + finals, pm if need",1,7,,,,,
收isom3400 final,Pm,Pm,pm,1,7,,,,,
收sosc1850 math 1013 comp1021,平放 pm if needed,Pm,Pm me,1,21,,,,,
Mt 低1.5sd會唔會F,唔知，今個sem 讀緊😂,3033個grade都係咁爛？,係啊，不過honor course 個個人中之龍，又唔可以咁計,2,22,,,,,
Mgmt2010,我D😭,前幾日已經出咗了,fakd,3,4,,,,,
Isom 2700 exam覺得點,易過midterm,easy,簡單,1,3,,,,,
phys 2022 final,我都應該咁做🥲,撞唒啲mc就走咗lu,,,,2,18,,,
Lang要出grade未,Lang 要等齊晒先出 點會咁早有 12月尾啦,Lang 1117p未,"lang 不嬲都好遲先出grade gala, 你都唔係第一日讀ust",2,4,,,,,
放isom 1500 source,Hi,要source,,,,1,5,,,
收 sosc1850 mt final essay,"Have SOSC1850 2 A+ final essays with proof, pm if need",Pm,Pm,2,28,,,,,
MATH2111 pp,Have,,,,,,,,1,1
買civl 4620 pp,Pm,,,,,,,,1,1
math 1012 問數區,f(x) = -3x^4; a = 3,咁聰明你又唔答 積啲口德啦,Bb仔數😅,1,8,,,,,
收civil 1160  notes,pm,I have,How much,1,7,,,,,
self declare major 一問,可能係DSE 直入acct 呢,人哋唔收你就唔好柒啦 IS都揀唔到,IS讀咗幾多？差幾多？,1,13,,,,,
UST同政府嘅exchange subsidy幾時先出😭,有幾多錢度?🤔,我去嘅時候都係完咗先俾,想問你in邊個,2,12,,,,,
CIVL 1160 Ben Resources,Pm,pm,pm,1,41,,,,,
放phys1111 source,I have,,,,,,,,1,1
收civl 1160 Ben Chan sources,Pm,Push,Pm,1,35,,,,,
收econ3143 jenny pp,Pm,,,,,,,,1,1
Grade,Final mean b range,最好B- 最差C,師兄你個名😂😂,7,19,,,,,
求math3423 sources,I have,anyone hv？,,,,1,2,,,
求math 1003 sources po😭😭😭🥺,How much,"I have, you need?",Pm i want,1,15,,,,,
google search HKUST 出d咁嘅野：,Lol 呢個仲好笑過樓主,😂,你話咁我都可以接受到,4,20,,,,,
Hall 蛇￼￼飛點運作￼,Google ust hall visitor,如題,,,,1,2,,,
Business school mse,Acct乜撚嘢人都收,econ 唔係冇用咩,Ecof course 仲爛grade lah,3,15,,,,,
__,唔該,Yes,嗰9 cred FINA3000-level or above嘅requirement係咪冇限最多trans幾cred如果我exchange讀3個data base入面有嘅course係咪可以trans哂佢？Thx,1,3,,,Fina exchange credit trans 一問,,
__,Pm,Pm,You know too much,11,26,,,識女仔朋友,,
求MATH 2011 past papers,Pm please,pm plz,Pm,1,20,,,,,
平放LIFS2210 全部Source￼,Pm,Pm,Pm,1,5,,,,,
平放Elec 1010 source,Pm,"有3個sem 既Final exam source 連 answer , Ps : Elec 1010 A",,,,1,2,,,
求civl2810final paper2021,求civl28102810 2021 problem+ans，pm if you can help,,,,,,,,1,1
Lang1004 podcast 出咗分未？,Asked mark abt that and he said it’s just canvas issue he hasn’t released yet just he alr marked n commented,Not yet,Push,1,4,,,,,
Phys1114,Pm,Reported,Pm,2,14,,,,,
收econ 2113acct2010maths1003 pp,pm,全部都有，pm我,pm,2,3,,,,,
收LIFS 3010 pp,pm please,Pm,Pm,1,7,,,,,
點温Phys1112?,用heavy workload換good grade,I have source,Lol phys1112 狂操textbook exercises 就輕鬆A,1,4,,,,,
收FINA 3103 MUKHERJEE source,have last year pp,pm,pm,1,23,,,,,
求isom 1500 source,Pm,"Have source, pm if needed",Hi,2,81,,,,,
放oces3130/3160 source,Pm,with sol pm me,pm,3,15,,,,,
￼ 放LIFS1902 Source (最齊全￼),Have 1902 Fall Sem final pp A+ Source,有LIFS1902 Pastpaper Around 70 MC有 A+ proof可pm我🙆‍♀️,"I have, pm if needed",1,37,,,,,
點先會攞F,其他course都係F最低分嗰幾個人，COMP同MATH可以肥兩成人,正常啊，MATH同COMP係Ssci、Seng入面最爛grade嘅major,2033,5,13,,,,,
COMP2011 final 圍爐區+預計分數,你玩咗c幾年就唔好鞭學咗兩個幾月嗰啲人啦,😂,📷,2,21,,,,,
收SOSC 1850 source,Pm me,Want textbook notes reading notes,,,,1,2,,,
Summer exchange,梨泰國大學chill,想問下師兄師姐有冇地方推薦同要注意既位置。睇website 比較少歐洲大學， 都係美國 韓國 多。同埋大部分都要額外比學費🥲,,,,1,2,,,
收ACCT 4010 4510 sources🙏🏻,Pm,I have ar,Pm,2,18,,,,,
放CIVIL1160 A+ Notes,"Hi, I have",pm,,,,1,95,,,
收oces1030 cindy pp,如題 謝謝🙏,,,,,,,,1,1
UST 2023 InnoX Winter Camp,有興趣嘅你快D入黎啦! 你嘅朋友仔等緊你.😊TG link:https://t.me/+c7Dlezwv0nY2N2U1入黎自我介紹下先比大家認識下你😊😊,,,,,,,,2,1
高價收3103 mukherjee pp,pm,pm,pm,1,11,,,,,
收1012,Pm,Pm,Pm,1,15,,,,,
求isom1500 source,Hv pm,pm,I have last year final with solutions,1,4,,,,,
LABU2060 grade,想問下拎平均拎very good/good 會攞咩grade，聽問labu2060係absolute grading,,,,,,,,1,1
☠,Pm,Pm,,,,1,5,"放fina,isom,econ,math,acct(2字頭)",,
COMP2011點溫,記熟嗮pointer嘅玩法，幾層pointer同埋應用，跟住個啲都唔難。應該會有成條Leetcode。Class個part要熟悉點寫，我覺得除左pointer其他part唔難。我係啲冇點讀嘅人都可以Mean+1.5Sd，唔使比太大壓力自己，因為好多人唔識。,midterm過唔過先,我應該30都冇,1,10,,,,,
PHYS2022 垃圾course,所有嘢都由頭教一次邊有可能一個sem讀得曬咁多嘢﹐再講﹐physics本身就係數學推出嚟﹐relativity同quantum啲嘢冇數底邊可能明﹐個course 2字頭又冇其他數prereq﹐夾硬死塞啲content落去啲學生咪唯有死背爛記,根本就係一個course塞太多嘢落去﹐不切實際,Intro course Physic 讀落去全部都有專門既course 除左relativity PG之外QM 熱學 你都要讀多個專門既,1,4,,,,,
求CHEM1030 sources,Hv final po with solution,平放 有意pm,pm🙇🏻‍♂️🙏🏻,1,33,,,,,
econ2113,fei d就有，可pm,收xue yu final,,,,1,2,,,
☠,"fei d sources, PM我",thanks,can u pm me,1,9,,,想買 econ2113 feiding final pp,,
Isom2700考試,Pm,pm,Pm,10,207,,,,,
fina2303 已出grade,你都識講未出 點知🤷🏻‍♀️😰,有冇人知goyal 點？,不過隔離prof 未出grade,3,30,,,,,
"放isom2600 , isom2700 ,isom250,",Pm,Pm if needed,pm,2,10,,,,,
收comp3031 asm3,pm,,,,,,,,2,1
「認真」civl3310有冇人係真係覺得太難,平心而論 review 冇講過嘅話 係好深,"If you don’t know how to do, I will be disappointed-lambros 2022",係少少囉 真係多撚謝🙏🏿🙏🏿,1,10,,,,,
讀過，讀緊PHYS1002嘅入一入嚟,可以出番去,入左，然後呢？🤷🏻‍♂️,🤓,2,6,,,,,
Phys1002 Final點睇,Easy,大家覺得難度如何,,,,1,2,,,
放ISOM 2500 source,Pm,Pm,Pm,1,40,,,,,
isom2700買到假source？,又啱，不過買source嘅錯處係版權問題呀嘛，今次我係買到一份係網路上免費公開嘅野，咪得個seller犯法🤣btw我以後唔買啦sorry🙇🏻‍♀️,其實你買source都係犯法架ok,可唔可以有咁多po話自己買到假source,2,12,,,,,
想問econ 1222點樣,唔好簡連住兩個topics 唔係就要三日做兩份,Ok la,Workload 大唔大,1,9,,,,,
買civl4620 pp,Pm,,,,,,,,1,1
Math 4427 Final,難過pastpaper 咁多clsssss,,,,,,,,2,1
大家comp2012考成點😢😢,真 aim mean,最大分果題唔係好知佢想做乜，又長又沉其他就都算識，但啱唔啱一回事，特別係hashing 果類，唔小心就冇曬,點解我覺得難過past paper,1,3,,,,,
收 ISOM2500 Mike So,感謝,可否重新交易急！,唔好意思之前唔記得checkpm第一次用請見諒,1,25,,,,,
